_ETS1-1_;2,85255027937573;3,0461674330672;2,88592472076209;2,6205885107117
_ETS1-2_;0,675126263301107;1,02990870041935;0,396923935017223;0
_HRA1_;1,88593799593071;1,71186871381282;1,54858140478383;0,815424656151948
_ICR1_;1,67816410609165;1,71998212178867;1,8145724450939;1,88885423884517
_IRT1_;2,39985280462925;2,34724226465189;2,32567214615909;2,34734524019102
_ITS1-1_;1,14814311360797;1,50625345026263;1,68853595438316;1,32088752831946
_ITS2-1_;2,04335465123092;2,28844490399111;1,99832220140415;1,53435830356697
_LSR1_;2,77824431468953;2,6603988940788;2,81949366658954;2,59324315327496
_NME1_;2,41983078495474;2,40900327930661;2,4288702912018;2,07334852629704
_RDN5-1_;1,38056357243605;1,79373121556932;1,11237917583129;1,32088752831946
_RDN5-6_;1,0395873678962;0,83427852764196;0;0,734812306735058
_RME2_;0,927666813273266;0,468729479849302;1,05915069611655;0,815424656151948
_RNA170_;1,88241020555188;1,89599418686388;1,46818479538002;1,52007237680298
_RPR1_;2,86783463220222;2,88499407485932;2,5240028066806;1,81449572589457
_RUF20_;2,56739301322661;2,49524646766041;2,3163767196148;2,14783058464079
_RUF21_;1,25037114783956;1,36809645255453;1,15979031695737;0,734812306735058
_RUF23_;1,84930012498829;1,85675587146881;1,36944533625598;1,15504645218517
_RUF5-1_;3,07981260069187;2,94015748861115;2,75948397694298;2,6495594248068
_RUF5-2_;3,97190922476507;3,92587194058025;3,71015494203453;3,50403837294999
_SCR1_;3,38391115609144;3,3809311258966;2,83684195412304;2,32969779132065
_SRG1_;3,40237778338856;3,15820760102489;2,72666217684328;2,72641642699661
_YAL001C_;2,79675384538295;2,70254282461466;2,7130572565512;2,8016813293536
_YAL002W_;2,56224124363361;2,51243385629175;2,57349758193488;2,6591538810084
_YAL003W_;4,22346206392515;4,20341180305999;4,24769936810939;4,20909552708037
_YAL005C_;3,76142335440381;3,80033287707694;4,33879898736885;4,26992423338086
_YAL007C_;2,62870046853768;2,57956031963625;2,28048286635949;2,44038898994554
_YAL008W_;2,38563414868112;2,35289404252115;3,09382462598741;3,17754745483825
_YAL009W_;3,04250629684869;3,00606352950584;3,03811732433114;3,11250884704123
_YAL010C_;2,4349783472027;2,517588295412;2,38032930936865;2,52133969779182
_YAL011W_;2,41880191232067;2,496592994898;2,43367795892509;2,67873844818971
_YAL012W_;3,8261742682817;3,70767789798189;3,46856924283683;3,16060235107221
_YAL013W_;3,27542342486029;3,33233795052038;3,50616161988583;3,36738472131541
_YAL014C_;3,07324292150946;3,07937959184408;3,31132915707495;3,25811655152126
_YAL015C_;3,17907219585485;3,10727588528589;3,09643091380435;3,11840816059223
_YAL016C-A_;1,48059556035605;1,16429683895033;1,51024082760164;1,42280967287822
_YAL016C-B_;1,16694070719133;0,943017051439564;1,11237917583129;1,34327544926049
_YAL016W_;2,96813019248737;2,98035887890308;3,21998123716455;3,3767778745789
_YAL017W_;2,54946932767999;2,48293607957031;2,94720889191193;3,0567334209592
_YAL018C_;1,20225812812883;1,10228029732318;0,998474996674399;0,507191513971793
_YAL019W_;2,56666077715469;2,45574172230755;2,08645517127407;2,14439477155727
_YAL020C_;2,84218299814069;2,81279603979588;2,91052935580643;2,84155930925552
_YAL021C_;2,39443904042623;2,48981821730027;2,55941126954034;2,58456696235853
_YAL022C_;2,95092942336805;2,94449310110501;2,73390724200958;2,74497873592235
_YAL023C_;2,58740988503661;2,64155573722561;2,2666582888133;2,42258045509197
_YAL024C_;1,99965912914818;1,83878982632887;1,42161516892239;1,36456562834226
